spotify_track_uri,ts,platform,ms_played,track_name,artist_name,album_name,reason_start,reason_end,shuffle,skipped
5MZBOcqI3Vpvp2PZy6ddyD,21-11-2023 07:04,android,141733,The Way It Is,The Strokes,Room On Fire,trackdone,trackdone,TRUE,FALSE
0gDyuX5rdHulQTUyrIdSR1,21-11-2023 07:05,android,31832,Oh My Love - Remastered 2010,John Lennon,Imagine,trackdone,fwdbtn,TRUE,TRUE
52KiYg6Kn2NB9riY2IwUgi,21-11-2023 07:09,android,254666,All I Ask Of You,Andrew Lloyd Webber,The Phantom Of The Opera,fwdbtn,trackdone,TRUE,FALSE
0jvN7eQJJt4nxQzgQfZ1SP,21-11-2023 07:13,android,242893,Spirit In The Sky - Deluxe Edition,Norman Greenbaum,Spirit In The Sky,trackdone,trackdone,TRUE,FALSE
4Q2UM2QSR7Gye03jvl4Rdw,21-11-2023 07:17,android,250013,I'm Outta Time,Oasis,Dig Out Your Soul,trackdone,trackdone,TRUE,FALSE
2WwpSfLTKszqFXzxum7vfy,21-11-2023 07:18,android,9571,Fina estampa (remasterizado),Maria Dolores Pradera,40 baladas y boleros con sus primeras rancheras,trackdone,fwdbtn,TRUE,TRUE
2vVeFbGTQmp9w25896BDAl,21-11-2023 07:18,android,3295,The Way We Talk,The Maine,The Way We Talk,fwdbtn,fwdbtn,TRUE,TRUE
6uJwK7c62pfQrG9tTkHivn,21-11-2023 07:21,android,200835,Two Of Us - Naked Version / Remastered 2013,The Beatles,Let It Be... Naked,fwdbtn,trackdone,TRUE,FALSE
7ACxUo21jtTHzy7ZEV56vU,21-11-2023 07:26,android,293183,Crazy Train,Ozzy Osbourne,Blizzard Of Ozz,trackdone,trackdone,TRUE,FALSE
5EMGRFIidh98v9eXj6QnOU,21-11-2023 07:30,android,266013,Dime Que No,Ricardo Arjona,Canciones De Amor,trackdone,trackdone,TRUE,FALSE
7phlxankXZJoo62Wk6HIbs,21-11-2023 07:34,android,202785,What Do You Want,The Yardbirds,Roger the Engineer (Expanded Edition),trackdone,trackdone,TRUE,FALSE
0JssjDh3UWEgjUslVZgHJG,21-11-2023 07:38,android,235493,Sugar,Maroon 5,V - Deluxe,trackdone,trackdone,TRUE,FALSE
0TE8iJF4CGawEWiS1bahCP,21-11-2023 07:42,android,227855,Alright Now,Liam Gallagher,Why Me? Why Not.,trackdone,trackdone,TRUE,FALSE
2zYzyRzz6pRmhPzyfMEC8s,21-11-2023 07:45,android,208400,Highway to Hell,AC/DC,Highway to Hell,trackdone,trackdone,TRUE,FALSE
7pFznsNR8N4sRaE7AQPKez,21-11-2023 07:46,android,45990,European Son,The Velvet Underground,The Velvet Underground & Nico 45th Anniversary,trackdone,fwdbtn,TRUE,TRUE
7v9Ne4758aGFfFc5avh89h,21-11-2023 07:52,android,191293,Let's Dance to Joy Division,The Wombats,"Proudly Present... A Guide to Love, Loss & Desperation",fwdbtn,trackdone,TRUE,FALSE
2gE95JskwQ1pCACTpGe1Db,21-11-2023 07:55,android,166280,Down On The Corner,Creedence Clearwater Revival,Willy And The Poor Boys,trackdone,trackdone,TRUE,FALSE
5337BdskAAG3MYToonX7hq,21-11-2023 07:58,android,210123,Ain't No Rest for the Wicked,Scott Bradlee's Postmodern Jukebox,33 Resolutions Per Minute,trackdone,trackdone,TRUE,FALSE
4vgjYkxGF93QjeTaNl4K3m,21-11-2023 08:01,android,189486,Memories Remix (feat. Nipsey Hussle & YG),Maroon 5,JORDI,trackdone,trackdone,TRUE,FALSE
4G7pL0F1ziduSe7SphEFNq,21-11-2023 08:10,android,191960,Magic Place,The Mud Howlers,Timeliness,trackdone,trackdone,TRUE,FALSE
6mR0ZA4DxvAHBihaXgI3oD,21-11-2023 08:14,android,238386,Tierra,Xoel López,Atlántico,trackdone,trackdone,TRUE,FALSE
0QC9aeBqqctjQbsFk5E4YP,21-11-2023 08:17,android,173413,Timshel,Mumford & Sons,Sigh No More,trackdone,trackdone,TRUE,FALSE
70LcF31zb1H0PyJoS1Sx1r,21-11-2023 08:20,android,177584,Creep,Radiohead,Pablo Honey,trackdone,unexpected-exit-while-paused,TRUE,FALSE
70LcF31zb1H0PyJoS1Sx1r,21-11-2023 08:59,android,5578,Creep,Radiohead,Pablo Honey,appload,fwdbtn,TRUE,TRUE
